Altium Designer Pick and Place Locations
D:\Altium_WorkSpace\EXP_V4\01_DESIGN\Project Outputs for EXP_HW_V4\Pick Place for EXP_V122.txt

========================================================================================================================
File Design Information:

Date:       01/07/25
Time:       13:26
Revision:   daa2a662dcd0c5cc3b3a26c3e464fd0e3c45e098
Variant:    No variations
Units used: mm

Designator Comment                 Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                     
R153       4.7k                    BottomLayer RES_C_1608X60              28.3030      32.0399      0        SMD                                                                                             
R152       4.7k                    BottomLayer RES_C_1608X60              66.8978      34.2900      90       SMD                                                                                             
R151       22R                     BottomLayer RES_C_1608X60              68.4922      34.2900      270      SMD                                                                                             
U10        MAX3485EESA+            BottomLayer SOIC8_3.9MM                67.7475      28.5448      270      "3.3V Powered, ±15kV ESD-Protected, 12Mbps, Slew-Rate-Limited True RS-485/RS-422 Transceivers" 
R150       1k                      BottomLayer RES_C_1608X60              66.2153      20.9599      0        SMD                                                                                             
R138       22R                     BottomLayer RES_C_1608X60              65.3034      34.2900      270      SMD                                                                                             
R137       120R                    BottomLayer RES_C_1608X60              67.7653      23.0193      180      SMD                                                                                             
R136       22R                     BottomLayer RES_C_1608X60              70.0866      34.2900      270      SMD                                                                                             
R119       1k                      BottomLayer RES_C_1608X60              69.3153      20.9599      0        SMD                                                                                             
R118       22R/DNP                 BottomLayer RES_C_1608X60              69.3420      16.8410      180      SMD                                                                                             
R57        22R/DNP                 BottomLayer RES_C_1608X60              69.3153      18.9005      180      SMD                                                                                             
C71        0.1uF/10V               BottomLayer CAP_C_1608X80              63.7573      28.4627      270      ""                                                                                              
U2         TPS5430DDAR             TopLayer    TPS5430DDAR_V3             42.2125      13.5578      270      "IC REG BUCK ADJ 3A 8SOPWR"                                                                     
R56        4.7k                    BottomLayer RES_C_1608X60              42.2317      16.8764      90       SMD                                                                                             
JP3        jumper2                 TopLayer    JUMPER2                    18.7001      25.0002      180      ""                                                                                              
R55        22R                     BottomLayer RES_C_1608X60              36.7707      16.8764      90       SMD                                                                                             
R54        22R                     BottomLayer RES_C_1608X60              38.5911      16.8764      270      SMD                                                                                             
R53        22R                     BottomLayer RES_C_1608X60              47.6927      16.8764      90       SMD                                                                                             
R52        22R                     BottomLayer RES_C_1608X60              44.0521      16.8764      270      SMD                                                                                             
R51        22R                     BottomLayer RES_C_1608X60              49.5131      16.8764      90       SMD                                                                                             
R50        22R                     BottomLayer RES_C_1608X60              45.8724      16.8764      270      SMD                                                                                             
R49        22R                     BottomLayer RES_C_1608X60              54.9741      16.8764      90       SMD                                                                                             
R48        22R                     BottomLayer RES_C_1608X60              53.1537      16.8764      270      SMD                                                                                             
R47        22R                     BottomLayer RES_C_1608X60              60.4350      16.8764      90       SMD                                                                                             
R45        22R                     BottomLayer RES_C_1608X60              58.6147      16.8764      270      SMD                                                                                             
R44        4.7k                    BottomLayer RES_C_1608X60              34.9504      16.8910      90       SMD                                                                                             
R43        4.7k                    BottomLayer RES_C_1608X60              62.2554      16.8910      90       SMD                                                                                             
R42        4.7k                    BottomLayer RES_C_1608X60              56.7944      16.8764      90       SMD                                                                                             
R41        4.7k                    BottomLayer RES_C_1608X60              40.4114      16.8764      90       SMD                                                                                             
R40        4.7k                    BottomLayer RES_C_1608X60              51.3334      16.8764      90       SMD                                                                                             
R134       22R                     TopLayer    RES_C_1608X60              69.3595      44.0138      180      SMD                                                                                             
C82        1uF/10V                 TopLayer    CAP_C_1608X80              60.0000      37.7645      180      ""                                                                                              
C81        1uF/10V                 BottomLayer CAP_C_1608X80              55.9267      24.5146      180      ""                                                                                              
C80        1uF/10V                 TopLayer    CAP_C_1608X80              31.4452      29.3872      270      ""                                                                                              
C79        1uF/10V                 TopLayer    CAP_C_1608X80              37.2110      26.5424      90       ""                                                                                              
C78        0.22uF/10V              TopLayer    CAP_C_1608X80              35.3822      26.5424      90       ""                                                                                              
C77        1uF/10V                 TopLayer    CAP_C_1608X80              31.4452      26.5424      270      ""                                                                                              
C76        1uF/10V                 TopLayer    CAP_C_1608X80              37.2364      29.4500      90       ""                                                                                              
C75        0.22uF/10V              TopLayer    CAP_C_1608X80              35.3822      29.4500      90       ""                                                                                              
J9         BM04B-SRSS-TB           TopLayer    BM04B-SRSS-TB              5.9312       45.6180      90       "CONN HEADER SMD 4POS 1MM"                                                                      
J8         BM04B-SRSS-TB           TopLayer    BM04B-SRSS-TB              11.4582      45.6180      90       "CONN HEADER SMD 4POS 1MM"                                                                      
R38        10k/DNP                 BottomLayer RES_C_1608X60              40.1500      45.2500      0        SMD                                                                                             
C139       0.1uF/10V               BottomLayer CAP_C_1608X80              29.0000      68.4160      270      ""                                                                                              
C122       0.1uF/10V               BottomLayer CAP_C_1608X80              33.0454      68.4160      270      ""                                                                                              
R30        22R                     TopLayer    RES_C_1608X60              28.3030      47.1245      180      SMD                                                                                             
J3         0532611571              TopLayer    0532611571                 74.0500      63.0600      90       "Conn Shrouded Header (4 Sides) HDR 15 POS 1.25mm Solder RA Side Entry SMD PicoBlade™ T/R"    
R149       10k                     TopLayer    RES_C_1608X60              12.6476      70.0345      180      SMD                                                                                             
R133       22R                     TopLayer    RES_C_1608X60              69.3595      41.8295      180      SMD                                                                                             
R132       22R                     TopLayer    RES_C_1608X60              69.3595      39.6453      180      SMD                                                                                             
R131       22R                     TopLayer    RES_C_1608X60              69.3595      37.4610      180      SMD                                                                                             
R130       22R                     TopLayer    RES_C_1608X60              69.3595      35.2768      180      SMD                                                                                             
R129       22R                     TopLayer    RES_C_1608X60              69.3595      33.0925      180      SMD                                                                                             
